Case number,AER form,Received date,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals affected,Animals treated,Animals died
AUS-MERCKMSD-2022-AU-01572,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000108499&_xt=AER&_xf=pdf""> AER </a>",2022-12-23 00:00:00,Veterinarian,Australia,MALE,Cat,Cat (other),"Bravecto Plus 250 mg + 12.5 mg - Spot-on solution, Solensia 7 mg/ml - Solution for injection","Inappetence, Not urinating, Vomiting",1,1,
AUS-ZOETISPV-2022-AU-00672,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000038027&_xt=AER&_xf=pdf""> AER </a>",2022-08-03 00:00:00,Other health care professional,Australia,MALE,Cat,Cat (other),"Meloxicam Bioveta, 1,5mg/ml, Perorální suspenze, Meloxicam Bioveta, 5mg/ml, Injekční roztok, Solensia 7 mg/ml - Solution for injection","Hypokalaemia, Seizure NOS",1,1,
AUS-ZOETISPV-2022-AU-00681,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000041402&_xt=AER&_xf=pdf""> AER </a>",2022-08-04 00:00:00,Animal owner,Australia,MALE,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,"Hiding, Off colour",1,1,
AUS-ZOETISPV-2022-AU-00709,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000043851&_xt=AER&_xf=pdf""> AER </a>",2022-08-15 00:00:00,Veterinarian,Australia,FEMALE,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,Death,1,1,1
AUS-ZOETISPV-2022-AU-00711,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000043803&_xt=AER&_xf=pdf""> AER </a>",2022-08-15 00:00:00,Other health care professional,Australia,UNKNOWN,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,Inappetence,1,1,
AUS-ZOETISPV-2022-AU-00719,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000045187&_xt=AER&_xf=pdf""> AER </a>",2022-08-17 00:00:00,Veterinarian,Australia,FEMALE,Cat,Burmese,Solensia 7 mg/ml - Solution for injection,"Faecal incontinence, Loose stool",1,1,
AUS-ZOETISPV-2022-AU-00739,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000047327&_xt=AER&_xf=pdf""> AER </a>",2022-08-22 00:00:00,Other health care professional,Australia,UNKNOWN,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,"Immediate pain upon injection, Vocalisation",1,1,
AUS-ZOETISPV-2022-AU-00742,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000052387&_xt=AER&_xf=pdf""> AER </a>",2022-08-31 00:00:00,Veterinarian,Australia,MALE,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,Hypertension,1,1,
AUS-ZOETISPV-2022-AU-00743,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000048065&_xt=AER&_xf=pdf""> AER </a>",2022-08-23 00:00:00,Other health care professional,Australia,MALE,Cat,Cat (other),Solensia 7 mg/ml - Solution for injection,"Polydipsia, Vomiting",1,1,
AUS-ZOETISPV-2022-AU-00774,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000059615&_xt=AER&_xf=pdf""> AER </a>",2022-09-15 00:00:00,Veterinarian,Australia,UNKNOWN,Cat,British cat,"Solensia 7 mg/ml - Solution for injection, ZOLETIL 100","Ataxia, Decreased appetite, Drowsiness - systemic disorder, Ear irritation, Lethargy (see also Central nervous system depression in Neurological), Local swelling (not application site), Third eyelid prolapse, Unsteady gait",1,1,
