Received date,Animals affected,Animals died
2021-03-09,5,0.0
2021-03-18,9,0.0
2021-03-30,5,1.0
2021-04-01,5,1.0
2021-04-12,5,1.0
2021-04-13,9,2.0
2021-04-15,18,1.0
2021-04-16,5,1.0
2021-04-19,5,1.0
2021-04-22,9,0.0
2021-04-26,5,1.0
2021-04-27,9,0.0
2021-04-29,9,1.0
2021-04-30,9,0.0
2021-05-05,12,2.0
2021-05-06,5,0.0
2021-05-07,5,1.0
2021-05-10,5,0.0
2021-05-11,4,0.0
2021-05-12,4,0.0
2021-05-18,7,1.0
2021-05-19,4,0.0
2021-05-20,10,1.0
2021-05-25,10,2.0
2021-05-26,7,1.0
2021-05-27,4,0.0
2021-05-31,10,1.0
2021-06-01,7,0.0
2021-06-02,4,0.0
2021-06-04,4,1.0
2021-06-07,7,0.0
2021-06-08,7,1.0
2021-06-09,4,1.0
2021-06-14,4,0.0
2021-06-15,4,0.0
2021-06-16,4,1.0
2021-06-17,10,0.0
2021-06-18,4,0.0
2021-06-21,4,1.0
2021-06-24,10,2.0
2021-06-28,4,1.0
2021-06-29,4,0.0
2021-07-01,4,0.0
2021-07-02,10,2.0
2021-07-07,10,2.0
2021-07-08,10,3.0
2021-07-09,4,0.0
2021-07-12,10,1.0
2021-07-13,4,1.0
2021-07-15,17,4.0
2021-07-16,7,0.0
2021-07-19,4,1.0
2021-07-20,4,0.0
2021-07-22,17,1.0
2021-07-23,7,1.0
2021-07-26,13,1.0
2021-07-29,4,1.0
2021-07-30,4,0.0
2021-08-02,10,1.0
2021-08-03,7,1.0
2021-08-04,4,0.0
2021-08-05,13,2.0
2021-08-09,17,2.0
2021-08-10,7,0.0
2021-08-11,4,1.0
2021-08-12,12,1.0
2021-08-16,16,2.0
2021-08-17,16,0.0
2021-08-19,22,1.0
2021-08-20,9,0.0
2021-08-23,32,2.0
2021-08-26,9,0.0
2021-08-27,3,1.0
2021-08-28,3,1.0
2021-08-30,6,0.0
2021-08-31,6,0.0
2021-09-01,16,2.0
2021-09-06,3,0.0
2021-09-07,6,0.0
2021-09-08,12,0.0
2021-09-09,22,2.0
2021-09-10,16,3.0
2021-09-13,3,0.0
2021-09-14,9,0.0
2021-09-16,12,0.0
2021-09-17,6,0.0
2021-09-20,19,0.0
2021-09-22,3,1.0
2021-09-23,12,0.0
2021-09-24,3,0.0
2021-09-27,9,2.0
2021-09-28,6,1.0
2021-09-29,6,1.0
2021-09-30,6,0.0
2021-10-01,16,1.0
2021-10-04,6,1.0
2021-10-05,3,1.0
2021-10-06,3,1.0
2021-10-07,6,0.0
2021-10-08,6,1.0
2021-10-11,9,1.0
2021-10-12,3,0.0
2021-10-14,9,1.0
2021-10-15,3,0.0
2021-10-18,19,2.0
2021-10-19,6,1.0
2021-10-21,12,3.0
2021-10-22,3,0.0
2021-10-25,6,1.0
2021-10-26,3,0.0
2021-10-27,3,0.0
2021-10-28,6,0.0
2021-10-29,16,1.0
2021-11-01,3,0.0
2021-11-02,19,2.0
2021-11-03,3,0.0
2021-11-04,6,0.0
2021-11-05,6,1.0
2021-11-08,16,1.0
2021-11-09,16,1.0
2021-11-10,25,4.0
2021-11-11,3,0.0
2021-11-12,3,0.0
2021-11-15,6,1.0
2021-11-16,3,1.0
2021-11-17,16,3.0
2021-11-18,6,1.0
2021-11-19,6,0.0
2021-11-22,9,0.0
2021-11-23,12,1.0
2021-11-24,3,0.0
2021-11-25,9,0.0
2021-11-29,3,0.0
2021-11-30,3,0.0
2021-12-01,3,0.0
2021-12-02,19,3.0
2021-12-03,6,1.0
2021-12-06,22,3.0
2021-12-08,41,0.0
2021-12-09,19,4.0
2021-12-10,12,2.0
2021-12-13,3,1.0
2021-12-14,6,0.0
2021-12-15,9,1.0
2021-12-16,16,1.0
2021-12-17,3,1.0
2021-12-20,6,0.0
2021-12-21,3,0.0
2021-12-23,9,0.0
2021-12-24,3,0.0
2021-12-27,3,0.0
2021-12-28,6,1.0
2021-12-29,19,3.0
2021-12-30,3,1.0
2022-01-03,9,0.0
2022-01-04,22,1.0
2022-01-06,12,3.0
2022-01-07,3,1.0
2022-01-10,16,2.0
2022-01-12,6,1.0
2022-01-13,22,2.0
2022-01-17,16,1.0
2022-01-18,6,0.0
2022-01-20,9,0.0
2022-01-21,9,2.0
2022-01-22,9,2.0
2022-01-24,16,1.0
2022-01-25,6,0.0
2022-01-26,9,1.0
2022-01-27,9,0.0
2022-02-02,32,1.0
2022-02-03,9,0.0
2022-02-04,12,0.0
2022-02-07,25,0.0
2022-02-08,28,0.0
2022-02-09,22,1.0
2022-02-10,11,0.0
2022-02-11,14,1.0
2022-02-12,26,0.0
2022-02-14,8,0.0
2022-02-15,8,0.0
2022-02-16,3,0.0
2022-02-17,5,1.0
2022-02-18,3,0.0
2022-02-21,12,1.0
2022-02-22,7,1.0
2022-02-23,10,1.0
2022-02-24,10,0.0
2022-02-25,8,0.0
2022-02-28,13,0.0
2022-03-01,8,0.0
2022-03-02,12,0.0
2022-03-03,8,0.0
2022-03-04,7,0.0
2022-03-07,7,0.0
2022-03-08,12,0.0
2022-03-09,16,3.0
2022-03-10,12,2.0
2022-03-11,5,0.0
2022-03-14,12,1.0
2022-03-15,17,5.0
2022-03-16,8,1.0
2022-03-17,9,0.0
2022-03-18,8,0.0
2022-03-21,2,1.0
2022-03-22,9,1.0
2022-03-23,5,1.0
2022-03-24,6,0.0
2022-03-25,11,3.0
2022-03-28,14,0.0
2022-03-29,12,0.0
2022-03-31,11,3.0
2022-04-01,9,1.0
2022-04-04,9,0.0
2022-04-05,15,0.0
2022-04-06,5,1.0
2022-04-07,13,0.0
2022-04-08,5,0.0
2022-04-09,2,0.0
2022-04-11,4,0.0
2022-04-12,11,0.0
2022-04-13,8,0.0
2022-04-14,21,7.0
2022-04-15,4,0.0
2022-04-19,5,1.0
2022-04-20,8,0.0
2022-04-21,4,0.0
