New Line No. ,New line no.,Current System Organ Class (SOC) Term,Current SOC Key,Current High Level Term (HLT),Current HLT Key,Current Preferred Term (PT),Current PT Key,Current Low Level Term (LLT),Current LLT Key,Current Term Type
1,400004,Application site disorders,1,Application site reactions,1,Application site blister,3,Application site blister,4,C
2,402063,Application site disorders,1,Application site reactions,1,Application site burn,934,Application site burn,2063,C
3,504332,Application site disorders,1,Application site reactions,1,Application site discharge NOS,3050,Application site discharge NOS,3051,C
4,400005,Application site disorders,1,Application site reactions,1,Application site erythema,4,Application site erythema,5,C
5,401332,Application site disorders,1,Application site reactions,1,Application site erythema,4,Application site reddening,1332,C
6,400006,Application site disorders,1,Application site reactions,1,Application site erythema,4,Application site rubra,6,C
7,402603,Application site disorders,1,Application site reactions,1,Application site feather change,1016,Application site feather change,2603,A
8,402604,Application site disorders,1,Application site reactions,1,Application site feather change,1016,Application site feather loss,2604,A
9,402003,Application site disorders,1,Application site reactions,1,Application site fibrosis,917,Application site fibrosis,2003,C
10,400007,Application site disorders,1,Application site reactions,1,Application site granuloma,5,Application site granuloma,7,C
11,400012,Application site disorders,1,Application site reactions,1,Application site haemorrhage,7,Application site bleeding,12,C
12,400008,Application site disorders,1,Application site reactions,1,Application site haemorrhage,7,Application site bruising,8,C
13,400010,Application site disorders,1,Application site reactions,1,Application site haemorrhage,7,Application site haematoma,10,C
14,400011,Application site disorders,1,Application site reactions,1,Application site haemorrhage,7,Application site haemorrhage,11,C
15,400009,Application site disorders,1,Application site reactions,1,Application site haemorrhage,7,Application site petechiae,9,C
16,400002,Application site disorders,1,Application site reactions,1,Application site hair change,2,Application site alopecia,2,C
17,402057,Application site disorders,1,Application site reactions,1,Application site hair change,2,Application site greasy fur,2057,A
18,401878,Application site disorders,1,Application site reactions,1,Application site hair change,2,Application site hair change,1878,C
19,402519,Application site disorders,1,Application site reactions,1,Application site hair change,2,Application site hair coat discolouration,2519,A
20,400003,Application site disorders,1,Application site reactions,1,Application site hair change,2,Application site hair loss,3,C
21,402148,Application site disorders,1,Application site reactions,1,Application site hair change,2,Application site leukotrichia,2148,C
22,402191,Application site disorders,1,Application site reactions,1,Application site hair change,2,Application site residue,2191,C
23,402004,Application site disorders,1,Application site reactions,1,Application site infection,918,Application site abscess,2004,C
24,402005,Application site disorders,1,Application site reactions,1,Application site infection,918,Application site infection,2005,C
25,401934,Application site disorders,1,Application site reactions,1,Application site inflammation,8,Application site dermatitis,1934,C
26,402064,Application site disorders,1,Application site reactions,1,Application site inflammation,8,Application site eczema,2064,C
27,400013,Application site disorders,1,Application site reactions,1,Application site inflammation,8,Application site inflammation,13,C
28,402065,Application site disorders,1,Application site reactions,1,Application site inflammation,8,Application site moist eczema,2065,C
29,401331,Application site disorders,1,Application site reactions,1,Application site inflammation,8,Application site rash,1331,C
30,402406,Application site disorders,1,Application site reactions,1,Application site inflammation,8,Application site warmth,2406,C
31,400016,Application site disorders,1,Application site reactions,1,Application site lesion,9,Application site crust,16,C
32,400014,Application site disorders,1,Application site reactions,1,Application site lesion,9,Application site lesion,14,C
33,400015,Application site disorders,1,Application site reactions,1,Application site lesion,9,Application site scab,15,C
34,402518,Application site disorders,1,Application site reactions,1,Application site lesion,9,Application site scar,2518,C
35,402602,Application site disorders,1,Application site reactions,1,Application site lesion,9,Application site sore,2602,C
36,400021,Application site disorders,1,Application site reactions,1,Application site mass NOS,1152,Application site lump,21,C
37,402832,Application site disorders,1,Application site reactions,1,Application site mass NOS,1152,Application site mass NOS,2832,C
